idProducto,idVendedor,Fecha,idSucursal,Descuento
7,2,2021-03-06 05:29:35,2,0
10,75,2020-08-28 15:00:18,3,0.3
1,27,2020-03-13 13:59:44,2,0
10,66,2021-10-09 00:55:26,4,0.1
10,90,2019-02-28 00:57:25,4,0
3,28,2018-10-08 00:58:39,2,0
5,3,2020-05-27 09:19:13,4,0.2
5,94,2021-10-14 03:39:51,1,0.5
7,21,2019-04-10 14:25:32,2,0.1
8,59,2021-06-12 17:57:31,4,0.1
5,11,2021-09-03 14:01:07,3,0.5
7,47,2020-06-06 20:23:01,3,0
4,37,2021-03-01 10:27:43,2,0
8,88,2019-08-05 12:52:21,4,0.4
1,96,2021-03-19 23:34:14,3,0.3
8,61,2020-12-10 08:34:12,4,0.1
2,82,2021-01-26 21:08:11,3,0.4
2,87,2022-08-30 14:57:50,2,0
5,63,2022-01-16 11:46:23,3,0.4
1,83,2021-06-13 12:32:08,2,0.2
3,40,2021-05-11 15:22:48,1,0.5
5,59,2022-12-05 06:09:02,2,0.5
6,75,2020-01-12 16:54:39,1,0
10,13,2020-10-24 17:22:47,1,0.1
9,95,2018-07-26 00:25:39,1,0
8,11,2018-11-30 09:31:36,1,0
1,60,2018-09-25 03:11:31,1,0.1
1,50,2021-06-10 22:08:46,3,0
3,52,2019-05-20 04:04:04,4,0.5
8,40,2018-12-25 06:01:49,1,0.2
6,11,2021-12-06 20:44:01,4,0.1
7,58,2022-12-15 10:38:35,3,0
9,63,2020-12-15 15:39:15,2,0.4
9,70,2019-01-13 15:42:28,3,0.4
10,43,2019-03-07 13:51:44,2,0
1,59,2019-08-11 10:20:40,2,0.1
3,98,2022-09-02 03:58:21,2,0
5,31,2020-10-14 17:46:07,4,0.1
4,31,2019-12-22 12:06:20,1,0
4,57,2022-12-13 22:14:05,3,0.2
5,74,2020-11-18 09:56:29,3,0
4,60,2019-08-22 22:26:03,3,0.4
10,15,2019-06-23 09:35:32,4,0
7,8,2018-08-28 05:34:23,1,0
9,66,2019-08-29 08:52:35,1,0.1
7,96,2019-12-24 03:32:47,3,0.1
8,22,2020-10-28 23:16:45,2,0.4
5,46,2020-02-09 00:33:21,1,0.5
4,60,2019-01-21 10:26:26,3,0
4,56,2022-05-01 03:49:17,3,0.2
6,54,2022-12-16 12:09:54,2,0
8,82,2020-01-24 16:35:45,3,0.2
7,4,2019-11-19 01:59:59,1,0.3
4,35,2022-09-26 05:09:06,2,0
4,90,2019-02-28 00:13:08,3,0.1
5,2,2020-08-12 14:41:29,3,0.5
8,19,2018-07-30 22:30:47,4,0.3
10,2,2022-11-27 20:53:23,3,0.2
2,32,2021-08-11 13:32:29,1,0.2
9,2,2021-09-12 07:22:08,2,0.2
10,83,2021-11-06 15:28:10,3,0
8,12,2018-06-24 19:13:59,2,0.4
2,28,2019-07-21 04:39:52,4,0
4,13,2022-06-01 01:37:38,4,0
7,84,2020-10-20 03:34:07,3,0.2
4,78,2020-06-30 07:55:29,3,0.5
4,48,2022-05-03 05:40:15,3,0.4
1,83,2020-03-19 21:05:14,4,0.3
3,80,2022-02-03 03:11:52,4,0.5
10,76,2021-07-12 16:28:30,4,0.3
6,27,2020-12-15 21:54:50,1,0.2
8,62,2021-04-22 07:36:38,4,0.3
1,3,2019-08-23 23:37:59,1,0.2
10,24,2018-12-12 22:54:46,1,0.2
9,63,2019-12-31 04:31:38,4,0.3
1,83,2018-06-25 07:50:10,1,0.2
7,25,2022-07-30 02:01:09,2,0
4,92,2021-11-25 07:15:19,4,0.1
7,38,2021-04-29 00:10:28,4,0.3
10,24,2022-09-26 14:23:49,1,0.4
5,22,2021-11-04 03:22:18,1,0.4
1,2,2019-06-27 22:23:50,3,0
2,19,2021-03-10 23:40:33,1,0.1
4,84,2018-09-25 22:29:42,1,0
5,88,2019-06-11 17:46:11,4,0.1
8,86,2019-09-22 15:38:30,1,0.5
9,16,2022-03-09 15:16:53,2,0.2
2,54,2021-06-13 01:35:12,1,0.4
5,66,2019-02-04 22:11:08,3,0.4
6,79,2019-07-27 10:12:36,4,0
5,70,2022-05-06 01:46:23,2,0
3,17,2019-06-27 10:32:58,3,0
7,67,2021-12-21 09:24:38,3,0
7,24,2022-05-21 22:10:37,3,0.4
4,25,2018-07-26 15:43:52,4,0
5,76,2019-08-04 11:08:28,2,0.4
10,18,2021-06-07 23:30:50,3,0.1
8,53,2020-02-19 12:01:27,1,0
3,59,2020-09-27 03:41:22,2,0
10,98,2019-07-25 02:13:43,4,0.2
4,20,2022-09-06 12:28:17,3,0.2
9,28,2019-05-20 04:09:09,2,0.2
9,50,2021-07-18 18:32:28,4,0
1,55,2018-07-12 10:40:18,4,0.2
6,12,2018-10-20 05:03:52,2,0.4
2,61,2021-03-02 11:46:01,3,0
9,94,2021-10-24 06:49:43,3,0
4,71,2019-03-12 19:06:44,3,0.2
9,74,2019-01-13 02:57:35,1,0.5
2,68,2022-08-30 09:53:03,2,0
